room_type_Entire home/apt,neighbourhood_group_Manhattan,room_type_Shared room,neighbourhood_group_Bronx,minimum_nights,availability_365,neighbourhood_encoded,calculated_host_listings_count,number_of_reviews,price
True,False,False,False,2,108,3714,2,214,4.7535901911063645
False,False,False,False,1,0,3920,1,0,4.836281906951478
False,False,False,False,1,0,157,1,1,4.204692619390966
True,True,False,False,1,0,911,1,3,5.407171771460119
False,False,False,False,2,100,1115,1,3,4.61512051684126
False,False,False,False,3,0,3920,3,6,4.564348191467836
True,True,False,False,3,241,1853,1,16,5.655991810819852
True,True,False,False,5,0,1853,1,2,4.110873864173311
True,False,False,False,1,0,2465,1,3,4.605170185988092
False,True,False,False,2,60,1117,1,16,3.9318256327243257
False,False,False,False,1,0,3714,1,1,4.189654742026425
False,True,False,False,2,179,911,1,540,4.605170185988092
True,False,False,False,3,2,1564,1,20,4.51085950651685
False,True,False,False,2,357,1545,1,60,5.170483995038151
False,False,False,False,1,70,18,1,3,3.5553480614894135
False,False,False,False,30,216,3714,5,3,3.7612001156935624
False,False,False,False,4,7,621,1,5,4.61512051684126
False,False,False,False,7,0,423,1,1,3.9318256327243257
True,False,False,False,1,14,1564,1,0,4.795790545596741
False,False,True,False,7,344,3714,1,1,3.58351893845611
False,False,False,False,4,0,3714,1,5,4.02535169073515
True,False,False,False,2,0,177,1,17,5.198497031265826
True,True,False,False,1,225,1545,17,8,5.099866427824199
True,True,False,False,4,273,768,1,1,5.14166355650266
True,False,False,False,2,331,309,3,16,5.170483995038151
False,False,False,False,2,169,17,1,0,4.795790545596741
True,True,False,False,4,0,1958,1,3,5.638354669333745
False,True,False,False,2,14,1117,2,8,4.709530201312334
False,False,False,False,5,72,3714,2,37,4.02535169073515
False,True,False,False,1,0,1545,1,3,4.51085950651685
False,True,False,False,1,8,346,3,29,4.330733340286331
True,False,False,False,3,17,3920,1,7,5.5254529391317835
True,False,False,False,30,0,535,1,2,4.7535901911063645
False,False,False,False,5,0,233,1,4,4.248495242049359
False,True,False,False,3,0,253,1,13,4.2626798770413155
True,False,False,False,2,0,1564,1,4,4.836281906951478
False,False,False,False,2,84,2465,1,26,4.51085950651685
False,False,False,False,1,82,135,1,1,4.330733340286331
False,True,False,False,3,0,911,1,1,4.2626798770413155
True,True,False,False,7,32,1853,1,57,5.111987788356544
True,False,False,False,3,112,1115,1,12,5.278114659230517
True,False,False,False,3,288,3714,2,99,5.14166355650266
True,False,False,False,3,0,3920,2,4,5.298317366548036
True,False,False,False,2,264,3714,1,52,5.170483995038151
False,True,False,False,1,0,911,1,2,4.2626798770413155
True,False,False,False,31,110,247,2,114,4.700480365792417
True,False,False,False,1,0,3920,1,1,5.14166355650266
True,False,False,False,4,0,900,1,1,4.605170185988092
False,False,False,False,7,0,26,1,1,4.61512051684126
True,False,False,False,1,257,3714,2,50,4.574710978503383
True,True,False,False,6,0,1958,1,1,5.41610040220442
False,False,False,False,2,0,2465,1,1,3.6888794541139363
False,False,False,False,5,100,423,2,71,4.04305126783455
False,False,False,False,4,0,2465,1,0,4.454347296253507
True,False,False,False,2,144,390,1,108,4.51085950651685
False,False,False,False,2,0,506,4,88,4.912654885736052
True,True,False,False,30,338,1545,14,0,5.707110264748875
True,False,False,False,2,0,506,1,2,5.049856007249537
True,True,False,False,3,222,1113,1,110,5.111987788356544
False,False,False,False,3,0,2465,1,1,3.4339872044851463
False,False,False,False,1,90,235,3,1,5.14166355650266
True,False,False,False,2,0,1564,1,20,4.61512051684126
True,False,False,False,5,0,535,1,9,4.110873864173311
